muscle,zero_command_baseline,original_model_activation,target_activation,target_minus_original
rf_coxa_pitch_negative,0,0.0009106958121962397,0.10367249697446823,0.10276180116227199
rf_coxa_roll_positive,0,0.0,0.0,0.0
rf_coxa_roll_negative,0,0.0,0.0,0.0
rf_trochanterfemur_pitch_positive,0,9.316590713060801e-06,0.10000000149011612,0.09999068489940306
rf_trochanterfemur_pitch_negative,0,0.0,0.2153775840997696,0.2153775840997696
rf_trochanterfemur_roll_positive,0,0.0,0.0,0.0
rf_trochanterfemur_roll_negative,0,0.0,0.0,0.0
rf_tibia_pitch_positive,0,0.0,0.15275438129901886,0.15275438129901886
rf_tibia_pitch_negative,0,0.0,0.10000000149011612,0.10000000149011612
rf_tarsus1_pitch_positive,0,0.0,0.10000000149011612,0.10000000149011612
rf_tarsus1_pitch_negative,0,0.0,0.2539646029472351,0.2539646029472351
rm_coxa_yaw_positive,0,0.003925526977224245,0.10000000149011612,0.09607447451289187
rm_coxa_yaw_negative,0,0.0,0.23072271049022675,0.23072271049022675
rm_coxa_pitch_positive,0,0.00311709637692604,0.10000000149011612,0.09688290511319007
rm_coxa_pitch_negative,0,0.0,0.147159606218338,0.147159606218338
rm_coxa_roll_positive,0,0.0,0.0,0.0
rm_coxa_roll_negative,0,0.0,0.0,0.0
rm_trochanterfemur_pitch_positive,0,0.0,0.21818043291568756,0.21818043291568756
rm_trochanterfemur_pitch_negative,0,0.02505112439336388,0.10000000149011612,0.07494887709675224
rm_trochanterfemur_roll_positive,0,0.0,0.0,0.0
rm_trochanterfemur_roll_negative,0,0.0,0.0,0.0
rm_tibia_pitch_positive,0,0.0,0.14138232171535492,0.14138232171535492
rm_tibia_pitch_negative,0,0.02621738052983668,0.10003591328859329,0.0738185327587566
rm_tarsus1_pitch_positive,0,0.0,0.0,0.0
rm_tarsus1_pitch_negative,0,0.0,0.0,0.0
rh_coxa_yaw_positive,0,0.008394313972736923,0.10926202684640884,0.10086771287367192
rh_coxa_yaw_negative,0,0.0,0.10000023990869522,0.10000023990869522
rh_coxa_pitch_positive,0,0.0027981048907529667,0.10000000149011612,0.09720189659936315
rh_coxa_pitch_negative,0,0.008808686254284352,0.14029748737812042,0.13148880112383607
rh_coxa_roll_positive,0,0.0,0.0,0.0
rh_coxa_roll_negative,0,0.0,0.0,0.0
rh_trochanterfemur_pitch_positive,0,0.04336697065668307,0.10000000149011612,0.05663303083343305
rh_trochanterfemur_pitch_negative,0,0.0,0.11754991859197617,0.11754991859197617
rh_trochanterfemur_roll_positive,0,0.0,0.0,0.0
rh_trochanterfemur_roll_negative,0,0.0,0.0,0.0
rh_tibia_pitch_positive,0,0.0,0.10156666487455368,0.10156666487455368
rh_tibia_pitch_negative,0,0.047858069651827095,0.12952715158462524,0.08166908193279815
rh_tarsus1_pitch_positive,0,0.0,0.0,0.0
rh_tarsus1_pitch_negative,0,0.0,0.0,0.0
